iter	Passed	Remaining
0	2	246
1	4	241
2	7	236
3	9	227
4	11	221
5	13	217
6	16	215
7	18	212
8	20	209
9	22	205
10	25	202
11	27	199
12	29	197
13	31	194
14	34	193
15	36	189
16	38	190
17	41	190
18	43	187
19	46	185
20	48	183
21	51	180
22	53	177
23	55	175
24	57	172
25	59	169
26	61	167
27	64	165
28	66	162
29	69	161
30	71	159
31	73	156
32	76	154
33	78	152
34	80	149
35	82	146
36	84	144
37	87	142
38	89	139
39	91	137
40	93	135
41	94	130
42	96	128
43	99	126
44	101	124
45	104	122
46	106	120
47	109	118
48	111	116
49	114	114
50	116	111
51	118	109
52	120	106
53	122	104
54	124	101
55	125	98
56	127	95
57	128	93
58	130	90
59	132	88
60	134	86
61	136	83
62	138	81
63	140	78
64	141	76
65	144	74
66	146	72
67	148	69
68	150	67
69	152	65
70	153	62
71	155	60
72	156	58
73	158	55
74	160	53
75	162	51
76	164	49
77	166	47
78	168	44
79	170	42
80	173	40
81	174	38
82	176	36
83	178	34
84	181	31
85	183	29
86	185	27
87	187	25
88	189	23
89	191	21
90	193	19
91	195	17
92	197	14
93	199	12
94	201	10
95	202	8
96	205	6
97	206	4
98	208	2
99	209	0
