iter	Passed	Remaining
0	146	146218
1	151	75590
2	152	50799
3	156	39026
4	159	31839
5	162	26840
6	163	23234
7	166	20629
8	170	18768
9	174	17260
10	176	15856
11	178	14693
12	180	13710
13	182	12842
14	186	12278
15	188	11603
16	190	10999
17	191	10466
18	193	9985
19	194	9545
20	196	9139
21	198	8808
22	199	8491
23	202	8218
24	203	7935
25	205	7690
26	206	7451
27	208	7224
28	209	7013
29	210	6819
30	213	6672
31	216	6563
32	218	6409
33	220	6260
34	221	6118
35	223	5981
36	224	5846
37	226	5726
38	228	5621
39	230	5531
40	231	5417
41	233	5317
42	234	5221
43	235	5125
44	237	5031
45	238	4948
46	240	4874
47	242	4814
48	245	4755
49	246	4680
50	247	4611
51	249	4541
52	250	4473
53	252	4416
54	253	4352
55	254	4291
56	258	4269
57	260	4228
58	261	4176
59	263	4123
60	264	4071
61	265	4021
62	267	3974
63	268	3925
64	269	3877
65	271	3836
66	273	3803
67	275	3770
68	276	3728
69	277	3687
70	279	3650
71	280	3614
72	281	3578
73	283	3544
74	284	3510
75	286	3483
76	288	3460
77	290	3430
78	291	3399
79	293	3369
80	294	3338
81	295	3307
82	296	3271
83	297	3241
84	298	3211
85	299	3182
86	302	3174
87	304	3152
88	305	3126
89	306	3100
90	308	3078
91	309	3053
92	310	3029
93	311	3006
94	313	2983
95	314	2960
96	317	2954
97	319	2938
98	320	2915
99	321	2895
100	323	2876
101	324	2856
102	325	2835
103	326	2815
104	328	2796
105	329	2777
106	331	2767
107	333	2754
108	335	2739
109	336	2725
110	338	2708
111	339	2690
112	340	2674
113	341	2657
114	343	2641
115	344	2626
116	345	2610
117	347	2599
118	349	2585
119	350	2569
120	351	2554
121	352	2537
122	353	2522
123	354	2507
124	356	2492
125	357	2477
126	358	2461
127	359	2447
128	362	2446
129	364	2436
130	365	2424
131	366	2413
132	368	2401
133	369	2389
134	370	2376
135	372	2364
136	373	2353
137	379	2369
138	381	2360
139	382	2349
140	384	2339
141	385	2327
142	386	2318
143	388	2308
144	389	2298
145	394	2306
146	395	2296
147	396	2285
148	398	2274
149	399	2264
150	400	2253
151	402	2243
152	403	2233
153	404	2223
154	409	2231
155	411	2224
156	412	2215
157	413	2205
158	415	2196
159	416	2186
160	417	2174
161	418	2165
162	419	2156
163	421	2151
164	423	2145
165	425	2138
166	426	2129
167	428	2121
168	429	2113
169	431	2105
170	432	2097
171	434	2089
172	435	2083
173	437	2076
174	439	2070
175	440	2063
176	441	2054
177	443	2046
178	444	2038
179	445	2030
180	446	2022
181	448	2014
182	449	2007
183	452	2004
184	453	1999
185	455	1993
186	456	1985
187	457	1977
188	459	1970
189	460	1962
190	461	1954
191	463	1948
192	464	1941
193	466	1939
194	468	1935
195	470	1928
196	471	1922
197	472	1915
198	473	1907
199	475	1900
200	476	1893
201	477	1888
202	479	1882
203	481	1880
204	483	1876
205	485	1870
206	486	1863
207	487	1856
208	488	1850
209	490	1843
210	491	1838
211	492	1831
212	494	1825
213	495	1821
214	497	1816
215	499	1811
216	500	1806
217	501	1800
218	503	1794
219	504	1788
220	507	1787
221	508	1782
222	510	1777
223	511	1772
224	513	1769
225	515	1765
226	517	1760
227	518	1756
228	520	1751
229	521	1745
230	523	1741
231	524	1737
232	526	1734
233	529	1732
234	530	1727
235	531	1722
236	533	1717
237	534	1711
238	535	1706
239	537	1701
240	538	1695
241	539	1689
242	541	1688
243	543	1684
244	545	1679
245	546	1674
246	547	1668
247	548	1663
248	550	1659
249	551	1653
250	552	1648
251	553	1643
252	555	1640
253	557	1637
254	559	1633
255	560	1628
256	561	1623
257	562	1618
258	564	1613
259	565	1608
260	566	1603
261	567	1598
